code,date,open,high,low,close,amount,volume
000300.SH,2021/2/3 14:15,5513.86,5515.15,5512.11,5514.52,4589.31,196283100
000300.SH,2021/2/3 14:20,5514.31,5523.08,5514.31,5519.72,6313.65,288374100
000300.SH,2021/2/3 14:25,5518.98,5519.55,5508.64,5509.95,5999.04,286129700
000300.SH,2021/2/3 14:30,5509.66,5511.84,5500.2,5500.2,7359.77,350154800
000300.SH,2021/2/3 14:35,5499.31,5500.05,5488.21,5488.21,8617.56,458483600
000300.SH,2021/2/3 14:40,5488.31,5494.3,5486.88,5490.31,8875.07,440593200
000300.SH,2021/2/3 14:45,5489.97,5489.99,5477.66,5484.48,9930.45,466736500
000300.SH,2021/2/3 14:50,5484.85,5486.11,5483.17,5486.11,8863.46,381503900
000300.SH,2021/2/3 14:55,5486.16,5487.37,5483.86,5483.94,10681.01,499836700
000300.SH,2021/2/3 15:00,5484.6,5485.2,5484.09,5485.2,7131.19,379324700
000300.SH,2021/2/4 9:35,5453.98,5483.65,5448.27,5481.99,34343.21,1484245000
000300.SH,2021/2/4 9:40,5481.97,5484.77,5468.37,5475.52,19573.29,847297900
000300.SH,2021/2/4 9:45,5477.15,5504.26,5477.15,5499.93,16315.29,671561600
000300.SH,2021/2/4 9:50,5499.55,5504.6,5493.51,5493.51,13960.4,572096300
000300.SH,2021/2/4 9:55,5492.19,5492.19,5478.17,5478.17,14203.97,685251500
000300.SH,2021/2/4 10:00,5477.2,5483.62,5468.51,5472.31,14261.31,650864100
000300.SH,2021/2/4 10:05,5472.89,5482.69,5472.89,5478.76,12633.43,555265700
000300.SH,2021/2/4 10:10,5478.31,5494.16,5471.47,5494.16,13381.61,683102500
000300.SH,2021/2/4 10:15,5495.49,5501.22,5493.84,5496.34,11336.29,505102700
000300.SH,2021/2/4 10:20,5496.28,5510.05,5495.85,5504.95,10327.37,423902700
000300.SH,2021/2/4 10:25,5505.59,5507.01,5493.85,5494,8226.76,334325200
000300.SH,2021/2/4 10:30,5493.41,5493.41,5487.13,5487.39,8057.23,387589300
000300.SH,2021/2/4 10:35,5486.92,5495.56,5486.9,5487.54,7603.49,382490100
